date_only,bidder_name,pub_name,pub_id,endpoint,pub_type,device_type,auctions,impressions,spend
2025-02-10,The Trade Desk,Reach PLC,252378,SOVRN - Direct Pubs - No Throttle,publisher,APP,4,4,0.0
2025-02-10,Krush Media,Quizlet,264549,TTL Test - In-App Banner,publisher,APP,5,5,0.01
2025-02-10,Krush Media,Dailymail Prebid,257541,Mobile App - SOVRN Direct All - Tree,publisher,APP,7,7,0.01
2025-02-10,Centro,Wurl,470485,Centro - West In East,publisher,APP,3,3,0.05
2025-02-10,The Trade Desk,LG Ad Solutions,489566,SOVRN - Direct Pubs - No Throttle,publisher,APP,1,1,0.01
2025-02-10,OpenX,Tvisionary,501771,SOVRN Direct Mobile App - Sequoia,publisher,APP,68607,68607,162.06
2025-02-10,BidSwitch,Fox News,492131,SOVRN - High Priority,publisher,APP,393481,393481,429.9
2025-02-10,Beeswax,Amagi Ads Plus,500389,SOVRN Direct - All TREE,publisher,CTV,43439,43439,634.25
2025-02-10,Beeswax,SayGames LTD,524460,SOVRN Direct - All TREE,publisher,APP,42575,42575,6.7
2025-02-10,BidSwitch,Microsoft Casual Games,475391,SOVRN - High Priority,publisher,APP,6017,6017,2.65
2025-02-10,Motorik,Zynga Inc,513693,SOVRN Direct All - Sequoia,publisher,APP,11576,11576,1.79
2025-02-10,Quantcast,Taiv X,515305,Summer Throttle,publisher,CTV,22570,22570,52.03
2025-02-10,Beeswax,Taiv X,515305,SOVRN Direct - All CTV - RPM,publisher,CTV,702,702,6.39
2025-02-10,Simpli.fi,Weatherbug TAM,513394,SOVRN Direct All - Sequoia,publisher,APP,1151,1151,2.0
2025-02-10,BoldWin,Aloha-ads,523648,US-East - SOVRN Direct Video - Tree,publisher,APP,140490,140490,255.01
2025-02-10,Madhive,GateHouse Media,293450,SOVRN Direct ALLOWLIST - Disable Throttle,publisher,APP,196,196,0.79
2025-02-10,Madhive,Zynga Inc,513693,SOVRN Direct ALLOWLIST - Disable Throttle,publisher,APP,5008,5008,1.84
2025-02-10,Simpli.fi,"Telly, Inc.",512853,CTV Direct Banner & Video,publisher,CTV,2542,2542,16.45
2025-02-10,Centro,LG Ads Plus,491414,Centro - West In East,publisher,CTV,300,300,4.86
2025-02-10,Beeswax,Zynga Inc,513693,SOVRN Direct - All Mobile - Fillrate,publisher,APP,1350,1350,0.7
2025-02-10,Centro,Simple Bros,516644,Centro - West In East,publisher,APP,1917,1917,1.08
2025-02-10,Beeswax,47 Samurai,448926,SOVRN Direct - All TREE,publisher,CTV,1313,1313,7.14
2025-02-10,Beeswax,Tegna,257772,SOVRN Direct - All TREE,publisher,APP,2711,2711,1.55
2025-02-10,DV360,"Data Sales Services, Inc.",518584,SOVRN Direct Non-CTV - No Throttle,publisher,APP,69,69,0.03
2025-02-10,Simpli.fi,Merriam-Wesbter,83744,SOVRN Direct All - Sequoia,publisher,APP,485,485,0.83
2025-02-10,OpenX,My-cast,512007,SOVRN Direct Mobile App - Sequoia,publisher,APP,6,6,0.04
2025-02-10,PubMatic,Future Today,444732,SOVRN Direct - No Shaping,publisher,CTV,261,261,4.41
2025-02-10,TaurusX,SayGames LTD,524460,Mobile App - Tree,publisher,APP,2344,2344,0.34
2025-02-10,Simpli.fi,MPW Digital,299507,CTV Direct Banner & Video,publisher,CTV,83,83,1.18
2025-02-10,Madhive,Amagi,499619,SOVRN Direct ALLOWLIST - Disable Throttle,publisher,DESKTOP,324,324,0.86
2025-02-10,Krush Media,Coneckt CTV,503680,CTV - SOVRN Direct All - Tree,publisher,CTV,53,53,0.67
2025-02-10,Edge226,Funtech,506272,SSP (Dauup) IA EP - Publishers,publisher,APP,108,108,0.03
2025-02-10,Quantcast,SportX,512157,Summer Throttle,publisher,CTV,715,715,8.38
2025-02-10,Simpli.fi,Amagi Ads Plus,500389,SOVRN Direct All - Sequoia,publisher,DESKTOP,204,204,1.06
2025-02-10,Motorik,Tvisionary,501771,SOVRN Direct All - Sequoia,publisher,APP,265,265,0.43
2025-02-10,Beeswax,Tegna,257772,SOVRN Direct - All CTV - RPM,publisher,CTV,188,188,1.55
2025-02-10,Equativ,TCL,466180,In-App Direct TREE,publisher,APP,242,242,2.51
2025-02-10,UnrulyX,Ookla,235106,SOVRN - Direct All - TREE,publisher,APP,25,25,0.03
2025-02-10,Motorik,Quizlet,264549,SOVRN Direct All - Sequoia,publisher,APP,53,53,0.02
2025-02-10,Epom Services,Microsoft Casual Games,475391,Exchange - No Throttle Mike Test,publisher,APP,74,74,0.09
2025-02-10,Centro,Quizlet,264549,Centro - West In East,publisher,APP,100,100,0.09
2025-02-10,DV360,Smartivi,480816,SOVRN Direct CTV - Sequoia FUZZY,publisher,CTV,236,236,2.02
2025-02-10,Krush Media,Gimica,528455,TTL Test - In-App Banner,publisher,APP,429,429,0.56
2025-02-10,Centro,SportX,512157,ADD NEW PUBLISHERS HERE - TREE,publisher,CTV,273,273,3.82
2025-02-10,Edge226,Paramount,205858,SSP (Dauup) IA EP - Publishers,publisher,APP,88,88,0.45
2025-02-10,Krush Media,"Vizio, Inc.",472819,CTV - SOVRN Direct All - Tree,publisher,CTV,2,2,0.04
2025-02-10,OpenX,Motorik,533827,SOVRN Direct Mobile App - Sequoia,publisher,APP,122,122,0.02
2025-02-10,Krush Media,Twist Digital,271355,Mobile App - SOVRN Direct All - Tree,publisher,APP,48,48,0.07
2025-02-10,DV360,My-cast,512007,SOVRN Direct Non-CTV - No Throttle,publisher,APP,9,9,0.11
2025-02-10,Motorik,Microsoft Casual Games,475391,EU SOVRN Direct All,publisher,APP,230,230,0.03
2025-02-10,Simpli.fi,Video Elephant,517221,CTV Direct Banner & Video,publisher,CTV,203,203,1.07
2025-02-10,Centro,Trusted Media Brands,515314,SOVRN Direct - TREE,publisher,CTV,62,62,0.51
2025-02-10,Beeswax,Fox News,492131,High Prio ISO - TREE,publisher,OTHER,6,6,0.01
2025-02-10,Centro,Sinclair Media Group,472580,Centro - West In East,publisher,CTV,3,3,0.04
2025-02-10,The Trade Desk,Sky UK,273340,SOVRN - Direct Pubs - No Throttle,publisher,APP,28,28,0.04
2025-02-10,Centro,Voise Tech,511365,Centro - West In East,publisher,CTV,35,35,0.53
2025-02-10,OpenX,Syncbak,466272,SOVRN Direct Mobile App - Sequoia,publisher,APP,31,31,0.18
2025-02-10,Opera Bidder,GateHouse Media,293450,SOVRN Direct - Mobile App TREE,publisher,APP,33,33,0.2
2025-02-10,Beeswax,Future Today,444732,SOVRN Direct - All TREE,publisher,CTV,24,24,0.3
2025-02-10,Beeswax,Vesta Stream,527726,SOVRN Direct - All CTV - RPM,publisher,CTV,53,53,0.7
2025-02-10,Xandr,Aloha-ads,523648,SOVRN Direct - All - Sequoia,publisher,CTV,5,5,0.07
2025-02-10,PubMatic,Ottera TV,467490,SOVRN Direct - No Shaping,publisher,CTV,6,6,0.04
2025-02-10,Edge226,Voise Tech,511365,CTV Direct (Edge Direct EP),publisher,CTV,3,3,0.05
2025-02-10,Sovrn,Zynga Inc,513693,TEST Evan Dev To Phantom,publisher,APP,14,14,0.0
2025-02-10,Centro,Twist Digital,271355,Centro - West In East,publisher,CTV,3,3,0.04
2025-02-10,Xandr,Amagi Ads Plus,500389,SOVRN Direct - All - Sequoia,publisher,APP,6,6,0.03
2025-02-10,Centro,Coneckt CTV,503680,Centro - West In East,publisher,APP,3,3,0.04
2025-02-10,Centro,Fox News,492131,Centro - West In East,publisher,OTHER,2,2,0.0
2025-02-10,BidSwitch,Vuukle,246770,SOVRN Direct - TREE,publisher,CTV,4,4,0.12
2025-02-10,Madhive,Play Works Ltd,517910,SOVRN Direct ALLOWLIST - Disable Throttle,publisher,CTV,6,6,0.08
2025-02-10,Simpli.fi,Barstool Sports,241659,SOVRN Direct All - Sequoia,publisher,APP,2,2,0.01
2025-02-10,Xandr,Trusted Media Brands,515314,SOVRN Direct - All - Sequoia,publisher,CTV,2,2,0.01
2025-02-10,Magnite,Iversoft,517763,TAM DIRECT - Mobile In-App - TREE,publisher,APP,3,3,0.0
2025-02-10,Madhive,Multimerica Media,512220,SOVRN Direct ALLOWLIST - Disable Throttle,publisher,APP,3,3,0.04
2025-02-10,Centro,StashTV,526543,Centro - West In East,publisher,APP,2,2,0.03
2025-02-10,BidSwitch,Merriam-Wesbter,83744,SOVRN Direct - TREE,publisher,APP,2,2,0.0
2025-02-10,PulsePoint,Fox News,492131,In-App Direct (Life Demand),publisher,OTHER,2,2,0.01
2025-02-10,BoldWin,Mycast,512006,US-East - SOVRN Direct Video - Tree,publisher,APP,571710,571710,987.61
2025-02-10,TaurusX,Dailymail Prebid,257541,Mobile App - Tree,publisher,APP,57485,57485,15.25
2025-02-10,The Trade Desk,Activision Blizzard Media,534985,SOVRN - Direct Pubs - No Throttle,publisher,APP,75745,75745,141.49
2025-02-10,Equativ,SayGames LTD,524460,In-App Direct TREE,publisher,APP,19348,19348,5.52
2025-02-10,PubMatic,LG Ad Solutions,489566,SOVRN Direct - No Shaping,publisher,CTV,3550,3550,33.18
2025-02-10,Beeswax,OnCore Digitial Inc.,253233,SOVRN Direct - All CTV - RPM,publisher,CTV,22635,22635,179.79
2025-02-10,Equativ,Simple Bros,516644,In-App Direct TREE,publisher,APP,5630,5630,1.16
2025-02-10,The Trade Desk,Graham Media Group,227590,SOVRN - Direct Pubs - No Throttle,publisher,CTV,4341,4341,10.31
2025-02-10,Epsilon,LG Ads Plus,491414,Epsilon Sovrn Direct - Sequoia,publisher,CTV,9493,9493,140.79
2025-02-10,Xandr,Paramount,205858,SOVRN Direct - All - Sequoia,publisher,APP,3646,3646,5.42
2025-02-10,Edge226,The Brave,273050,SSP (Dauup) IA EP - Publishers,publisher,APP,4354,4354,2.53
2025-02-10,Motorik,Funtech,506272,SOVRN Direct All - Sequoia,publisher,APP,9272,9272,2.52
2025-02-10,Epsilon,Frndly TV,486093,Epsilon Sovrn Direct - Sequoia,publisher,CTV,2373,2373,29.08
2025-02-10,The Trade Desk,Syncbak,466272,SOVRN - Direct Pubs - No Throttle,publisher,APP,9259,9259,56.7
2025-02-10,Beeswax,Funtech,506272,SOVRN Direct - All TREE,publisher,APP,370,370,0.55
2025-02-10,Edge226,"Telly, Inc.",512853,CTV Direct (Edge Direct EP),publisher,CTV,1709,1709,8.77
2025-02-10,Motorik,Dailymail Prebid,257541,SOVRN Direct All - Sequoia,publisher,APP,644,644,1.42
2025-02-10,Equativ,Trusted Media Brands,515314,SOVRN Direct - CTV Only TREE,publisher,CTV,3390,3390,21.76
2025-02-10,Simpli.fi,Activision Blizzard Media,534985,SOVRN Direct All - Sequoia,publisher,APP,3034,3034,15.88
